2022-04-26 12:19:00,790 main WARN JNDI lookup class is not available because this JRE does not support JNDI. JNDI string lookups will not be available, continuing configuration. Ignoring java.lang.ClassNotFoundException: org.apache.logging.log4j.core.lookup.JndiLookup
2021-12-28 ,40725
2019-07-06 ,50897
2020-07-04 ,70988
2021-04-28 ,96327
2021-05-01 ,92820
2021-09-12 ,117211
2021-12-29 ,39656
2019-07-07 ,61485
2020-07-05 ,64523
2021-04-29 ,70575
2021-05-02 ,93968
2021-09-13 ,105992
2019-07-08 ,68030
2019-08-30 ,76815
2019-12-20 ,34209
2020-07-06 ,45976
2021-05-03 ,60826
2021-09-14 ,118476
2019-04-20 ,36784
2019-07-09 ,83708
2019-08-31 ,64237
2019-12-21 ,24247
2020-07-07 ,67810
2021-05-04 ,87008
2021-09-15 ,118363
2019-04-21 ,51865
2019-12-22 ,23726
2020-07-08 ,63321
2020-08-30 ,92434
2020-12-20 ,16340
2021-05-05 ,49746
2021-09-16 ,109635
2019-04-22 ,44109
2019-12-23 ,37364
2020-04-20 ,21882
2020-07-09 ,76374
2020-08-31 ,75665
2020-12-21 ,31415
2021-05-06 ,93264
2021-09-17 ,111908
2019-04-23 ,75434
2019-12-24 ,25894
2020-04-21 ,17050
2020-12-22 ,37256
2021-05-07 ,91200
2021-09-18 ,124636
2019-04-24 ,77723
2019-12-25 ,13082
2020-04-22 ,23783
2020-12-23 ,40454
2021-05-08 ,59756
2021-06-30 ,96876
2021-09-19 ,116465
2021-10-20 ,112024
2019-04-25 ,60821
2019-12-26 ,25226
2020-04-23 ,19125
2020-12-24 ,32606
2021-02-20 ,24992
2021-05-09 ,53308
2021-10-21 ,113728
2019-04-26 ,37115
2019-09-10 ,87584
2019-12-27 ,31808
2020-04-24 ,12610
2020-12-25 ,11850
2021-02-21 ,26475
2021-10-22 ,111568
2019-04-27 ,56434
2019-09-11 ,90448
2019-12-28 ,28520
2020-04-25 ,58898
2020-12-26 ,19791
2021-02-22 ,19553
2021-10-23 ,91365
2019-04-28 ,41200
2019-05-01 ,60897
2019-09-12 ,70159
2019-12-29 ,17968
2020-04-26 ,9586
2020-09-10 ,52907
2020-12-27 ,23764
2021-02-23 ,33534
2021-10-24 ,85031
2019-04-29 ,60789
2019-05-02 ,68701
2019-09-13 ,87636
2020-04-27 ,17795
2020-09-11 ,94644
2020-12-28 ,38784
2021-02-24 ,46049
2021-10-25 ,92444
2019-05-03 ,62405
2019-09-14 ,75457
2020-04-28 ,39619
2020-05-01 ,24945
2020-09-12 ,101462
2020-12-29 ,33202
2021-02-25 ,43425
2021-10-26 ,48014
2019-05-04 ,56023
2019-09-15 ,78968
2020-04-29 ,21653
2020-05-02 ,72808
2020-09-13 ,84682
2021-02-26 ,44560
2021-07-10 ,109407
2021-10-27 ,97983
2019-05-05 ,16169
2019-09-16 ,82106
2020-05-03 ,63731
2020-09-14 ,79263
2021-02-27 ,30815
2021-07-11 ,103489
2021-10-28 ,100685
2021-11-01 ,89652
2019-05-06 ,69914
2019-09-17 ,93117
2020-05-04 ,32356
2020-09-15 ,84118
2021-02-28 ,21321
2021-03-01 ,34575
2021-07-12 ,87993
2021-10-29 ,82622
2021-11-02 ,82810
2019-05-07 ,72824
2019-09-18 ,90306
2020-05-05 ,35078
2020-09-16 ,86977
2021-03-02 ,32100
2021-07-13 ,105514
2021-11-03 ,87258
2019-05-08 ,76389
2019-06-30 ,63570
2019-09-19 ,89655
2019-10-20 ,28551
2020-05-06 ,17274
2020-09-17 ,87490
2021-03-03 ,50122
2021-07-14 ,110452
2021-11-04 ,85757
2019-02-20 ,20426
2019-05-09 ,66681
2019-10-21 ,78441
2020-05-07 ,43677
2020-09-18 ,89018
2021-03-04 ,40247
2021-07-15 ,112494
2021-11-05 ,86272
2019-02-21 ,39499
2019-10-22 ,54806
2020-05-08 ,17326
2020-06-30 ,65102
2020-09-19 ,89985
2020-10-20 ,76195
2021-03-05 ,36337
2021-07-16 ,108282
2021-11-06 ,84652
2019-02-22 ,41794
2019-10-23 ,80480
2020-02-20 ,42686
2020-05-09 ,27747
2020-10-21 ,84145
2021-03-06 ,33478
2021-07-17 ,82397
2021-11-07 ,79376
2019-02-23 ,31608
2019-10-24 ,83431
2020-02-21 ,38686
2020-10-22 ,83848
2021-03-07 ,35350
2021-07-18 ,99921
2021-11-08 ,84957
2021-12-30 ,46924
2019-02-24 ,24272
2019-10-25 ,81152
2020-02-22 ,39443
2020-10-23 ,86939
2021-03-08 ,38477
2021-04-30 ,80692
2021-07-19 ,102776
2021-11-09 ,96712
2021-12-31 ,48690
2019-02-25 ,34216
2019-10-26 ,68073
2020-02-23 ,46544
2020-10-24 ,90596
2021-03-09 ,60231
2019-02-26 ,37516
2019-07-10 ,84219
2019-10-27 ,26758
2020-02-24 ,56349
2020-10-25 ,61869
2019-02-27 ,36475
2019-07-11 ,54495
2019-10-28 ,76742
2019-11-01 ,70641
2020-02-25 ,39568
2020-10-26 ,51135
2019-02-28 ,38223
2019-03-01 ,30233
2019-07-12 ,81075
2019-10-29 ,53188
2019-11-02 ,58579
2020-02-26 ,45207
2020-07-10 ,22777
2020-10-27 ,78030
2019-03-02 ,18001
2019-07-13 ,76860
2019-11-03 ,52253
2020-02-27 ,43411
2020-07-11 ,66573
2020-10-28 ,62847
2020-11-01 ,32600
2019-03-03 ,23239
2019-07-14 ,67911
2019-11-04 ,70117
2020-02-28 ,43360
2020-03-01 ,31878
2020-07-12 ,84290
2020-10-29 ,19072
2020-11-02 ,50610
2021-09-20 ,109096
2019-03-04 ,28421
2019-07-15 ,81053
2019-11-05 ,73768
2020-02-29 ,29252
2020-03-02 ,56946
2020-07-13 ,69017
2020-11-03 ,62112
2021-05-10 ,71169
2021-09-21 ,113237
2019-03-05 ,37097
2019-07-16 ,84569
2019-11-06 ,72714
2020-03-03 ,49723
2020-07-14 ,76968
2020-11-04 ,65204
2021-05-11 ,89072
2021-09-22 ,113374
2019-03-06 ,33279
2019-07-17 ,69169
2019-11-07 ,56782
2020-03-04 ,58670
2020-07-15 ,78340
2020-11-05 ,74725
2021-01-01 ,18790
2021-05-12 ,94863
2021-09-23 ,86741
2019-03-07 ,35907
2019-07-18 ,61067
2019-11-08 ,50295
2019-12-30 ,12138
2020-03-05 ,58686
2020-07-16 ,79248
2020-11-06 ,82142
2021-01-02 ,41195
2021-05-13 ,100730
2021-09-24 ,115894
2019-03-08 ,40406
2019-04-30 ,62660
2019-07-19 ,75054
2019-11-09 ,37993
2019-12-31 ,31510
2020-03-06 ,34135
2020-07-17 ,69834
2020-11-07 ,98467
2021-01-03 ,14578
2021-05-14 ,107372
2021-09-25 ,125176
2019-03-09 ,38928
2020-03-07 ,39448
2020-07-18 ,80408
2020-11-08 ,86147
2020-12-30 ,35705
2021-01-04 ,36745
2021-05-15 ,118938
2021-09-26 ,113547
2020-03-08 ,46994
2020-04-30 ,14542
2020-07-19 ,66789
2020-11-09 ,75799
2020-12-31 ,26334
2021-01-05 ,38525
2021-05-16 ,97121
2021-09-27 ,106809
2020-03-09 ,68768
2021-01-06 ,37929
2021-05-17 ,95267
2021-09-28 ,96554
2021-01-07 ,37971
2021-05-18 ,105856
2021-09-29 ,111532
2021-10-30 ,79166
2021-01-08 ,37138
2021-05-19 ,109856
2021-10-31 ,85720
2019-09-20 ,90534
2021-01-09 ,34643
2019-05-10 ,68039
2019-09-21 ,98755
2019-05-11 ,69788
2019-09-22 ,76422
2020-09-20 ,77666
2019-01-01 ,21962
2019-05-12 ,10729
2019-09-23 ,85489
2020-05-10 ,54504
2020-09-21 ,72111
2019-01-02 ,37797
2019-05-13 ,22296
2019-09-24 ,93044
2020-05-11 ,22729
2020-09-22 ,82861
2019-01-03 ,41676
2019-05-14 ,42780
2019-09-25 ,94015
2020-01-01 ,18114
2020-05-12 ,35998
2020-09-23 ,90600
2021-07-20 ,111606
2021-11-10 ,98195
2019-01-04 ,43922
2019-05-15 ,74307
2019-09-26 ,84593
2020-01-02 ,41556
2020-05-13 ,40592
2020-09-24 ,86938
2021-03-10 ,54874
2021-07-21 ,108756
2021-11-11 ,92923
2019-01-05 ,17432
2019-05-16 ,77878
2019-09-27 ,93268
2020-01-03 ,31873
2020-05-14 ,41586
2020-09-25 ,93712
2021-03-11 ,68393
2021-07-22 ,118494
2021-11-12 ,69969
2019-01-06 ,31451
2019-05-17 ,72112
2019-09-28 ,81603
2020-01-04 ,29436
2020-05-15 ,52903
2020-09-26 ,99262
2021-03-12 ,69487
2021-07-23 ,112621
2021-11-13 ,71473
2019-01-07 ,36486
2019-05-18 ,73143
2019-09-29 ,75753
2019-10-30 ,68639
2020-01-05 ,27589
2020-05-16 ,80292
2020-09-27 ,87411
2021-03-13 ,53512
2021-07-24 ,125236
2021-11-14 ,63187
2019-01-08 ,41163
2019-05-19 ,69920
2019-10-31 ,49656
2020-01-06 ,42738
2020-05-17 ,63553
2020-09-28 ,78056
2021-03-14 ,43531
2021-07-25 ,98062
2021-11-15 ,68368
2019-01-09 ,44338
2020-01-07 ,46535
2020-05-18 ,39154
2020-09-29 ,59816
2020-10-30 ,39546
2021-03-15 ,34393
2021-07-26 ,98841
2021-11-16 ,77277
2020-01-08 ,42400
2020-05-19 ,40934
2020-10-31 ,66771
2021-03-16 ,38030
2021-07-27 ,106220
2021-11-17 ,85552
2020-01-09 ,39344
2021-03-17 ,47312
2021-07-28 ,112492
2021-08-01 ,94663
2021-11-18 ,94670
2021-03-18 ,22554
2021-07-29 ,76096
2021-08-02 ,103220
2021-11-19 ,74090
2021-03-19 ,43776
2021-08-03 ,108966
2019-07-20 ,50576
2019-11-10 ,42121
2021-08-04 ,109236
2019-03-10 ,18897
2019-07-21 ,48198
2019-11-11 ,64883
2021-08-05 ,109451
2019-03-11 ,52413
2019-07-22 ,52376
2019-11-12 ,39188
2020-07-20 ,58285
2020-11-10 ,84365
2021-08-06 ,109433
2019-03-12 ,47207
2019-07-23 ,66278
2019-11-13 ,43945
2020-03-10 ,64277
2020-07-21 ,70557
2020-11-11 ,46257
2021-08-07 ,115277
2019-03-13 ,50120
2019-07-24 ,87644
2019-11-14 ,54642
2020-03-11 ,61816
2020-07-22 ,51988
2020-11-12 ,40704
2021-08-08 ,75462
2021-09-30 ,112581
2019-03-14 ,57466
2019-07-25 ,86449
2019-11-15 ,59521
2020-03-12 ,51332
2020-07-23 ,65592
2020-11-13 ,48657
2021-05-20 ,108233
2021-08-09 ,96515
2019-03-15 ,57506
2019-07-26 ,82881
2019-11-16 ,36896
2020-03-13 ,43343
2020-07-24 ,66790
2020-11-14 ,75263
2021-01-10 ,35366
2021-05-21 ,112902
